customer_id,full_name,email,phone,signup_date,city,state,gender,age,loyalty_tier,data_notes,signup_date_raw
100000,Anita Verma,user100000@dmart.com,-9435201013,27-10-2024 00:00,Vadodara,Gujarat,,31,Bronze,registered via app ,27-10-2024 00:00
100001,Amit Singh,user100001@dmart.com,-9295893157,,Surat,Gujarat,M,14,Gold,,01-Dec-24
100002,Sunil Rao,user100002@dmart.com,-7071451600,,Jaipur,Rajasthan,M,39,,Frequent buyer,23-06-2024
100003,Asha Patel,user100003@dmart.com,-8725058715,,Hyderabad,Telangana,F,42,Silver,prefers discount,09/28/2023
100004,Deepa Bhat,user100004@dmart.com,6952517391,,Delhi,Delhi,O,29,Gold,registered via app ,09-08-2025
100005,Asha Sharma,user100005@@dmart.com,6910436665,,Pune,Maharashtra,F,53,,,27-07-2024
100006,Amit Nair,user100006@dmart.com,7548630784,,Jaipur,Rajasthan,O,20,,Frequent buyer,19-12-2025
100007,Isha Verma,user100007@dmart.com,-9796928703,,Delhi,Delhi,M,17,Gold,registered via app ,31-01-2024
100008,Neha Sharma,user100008@dmart.com,9829335496,,Jaipur,Rajasthan,F,37,,Frequent buyer,12-Dec-24
100009,Ramesh Das,user100009@dmart.com,-8992330369,,Hyderabad,Telangana,F,47,,,05-05-2023
100010,Asha Mehta,user100010@dmart.com,7721633165,,Bengaluru,Karnataka,M,55,Bronze,Frequent buyer,10-07-2024
100011,Manish Bhat,user100011@dmart.com,9661352590,,Hyderabad,Telangana,M,29,Gold,Frequent buyer,03-07-2024
100012,Anita Singh,user100012@dmart.com,-8759143244,,Chennai,Tamil Nadu,O,47,Bronze,,30-Dec-25
100013,Isha Kumar,user100013@dmart.com,6044702838,,Bengaluru,Karnataka,O,34,Silver,,03/25/2024
100014,Vikram Nair,user100014@dmart.com,8366002146,,Bhopal,Madhya Pradesh,F,32,,prefers discount,27-03-2024
100015,Deepa Gupta,user100015@dmart.com,-8130136960,,Surat,Gujarat,F,45,Bronze,,27-Dec-23
100016,Vikram Nair,user100016@dmart.com,7831352713,04-04-2025 16:08,Nagpur,Maharashtra,M,42,,registered via app  ,04-04-2025 16:08
100017,Rahul Singh,user100017@dmart.com,-6612615165,,Indore,Madhya Pradesh,F,16,Bronze,Frequent buyer,20-01-2023
100018,Sameer Mehta,user100018@dmart.com,-8056895771,,Mumbai,Maharashtra,M,,Silver,,01-07-2024
100019,Deepa Singh,user100019@@dmart.com,-6973562238,,Vadodara,Gujarat,F,52,Bronze,Frequent buyer,24-12-2024
100020,Sunil Verma,user100020@dmart.com,-6327662719,,Vadodara,Gujarat,M,51,Silver,registered via app ,08-01-2025
100021,Deepa Singh,user100021@dmart.com,9511404401,,Jaipur,Rajasthan,O,27,Bronze,Frequent buyer,01-Aug-23
100022,Neha Das,user100022@dmart.com,7918542093,,Delhi,Delhi,O,39,Silver,registered via app ,18-05-2023
100023,Sneha Khan,user100023@dmart.com,6593655861,,Lucknow,Uttar Pradesh,M,40,Silver,,18-May-24
100024,Sameer Khan,user100024@dmart.com,-8978555211,,Hyderabad,Telangana,M,,Silver,registered via app ,28-06-2023
100025,Rahul Gupta,user100025@dmart.com,9517623123,,Hyderabad,Telangana,F,38,Bronze,prefers discount,31-Jul-25
100026,Neha Joshi,user100026@dmart.com,6232286181,,Lucknow,Uttar Pradesh,M,28,Silver,Frequent buyer,06-08-2023
100027,Sunil Verma,user100027@dmart.com,-7788831775,,Indore,Madhya Pradesh,F,26,,registered via app ,20-08-2025
100028,Amit Kumar,user100028@dmart.com,-8759320063,,Patna,Bihar,,34,,,27-Oct-25
100029,Sameer Bhat,user100029@dmart.com,6394864371,,Surat,Gujarat,F,49,Bronze,prefers discount,12-02-2025
100030,Kavita Rao,user100030@dmart.com,7345139329,,Mumbai,Maharashtra,M,41,,prefers discount,09-04-2025
100031,Pooja Rao,user100031@dmart.com,6699050622,,Hyderabad,Telangana,M,30,Bronze,prefers discount,08-07-2023
100032,Sameer Sharma,user100032@dmart.com,-6196196649,,Indore,Madhya Pradesh,F,44,,,24-Sep-24
100033,Priya Gupta,user100033@dmart.com,-6433804003,,Lucknow,Uttar Pradesh,M,0,Bronze,,18-Feb-23
100034,Suresh Nair,user100034@dmart.com,9468083164,,Indore,Madhya Pradesh,M,48,Silver,,16-10-2023
100035,NehaG upta,user100035@dmart.com,9825441179,,Bhopal,Madhya Pradesh,M,14,Silver,registered via app ,04-Mar-25
100036,Kavita Chaudhary,user100036@dmart.com,8142811846,,Bengaluru,Karnataka,M,30,Gold,,10-04-2024
100037,Manish Kumar,user100037@dmart.com,7898570486,,Lucknow,Uttar Pradesh,M,21,Gold,registered via app ,15-Oct-23
100038,Neha Mehta,user100038@dmart.com,6358589172,,Vadodara,Gujarat,F,,Bronze,Frequent buyer,04/26/2025
100039,Kavita Sharma,user100039@dmart.com,6679488767,30-05-2023 00:00,Lucknow,Uttar Pradesh,F,19,,registered via app ,30-05-2023 00:00
100040,Manish Verma,user100040@dmart.com,9962067603,,Chennai,Tamil Nadu,O,48,,prefers discount,13-02-2024
100041,Anita Mehta,user100041@dmart.com,-8018495161,,Nagpur,Maharashtra,,29,Gold,registered via app ,17-Oct-24
100042,Rita Chaudhary,user100042@dmart.com,7082637930,,Kolkata,West Bengal,M,39,,,27-12-2023
100043,Asha Chaudhary,user100043@dmart.com,7468961055,,Lucknow,Uttar Pradesh,,34,Silver,registered via app ,03-Dec-23
100044,Vikram Chaudhary,user100044@@dmart.com,6334185881,24-10-2023 00:00,Surat,Gujarat,F,40,Bronze, ,24-10-2023 00:00
100045,Neha Mehta,user100045@dmart.com,7128728962,08-01-2023 00:00,Patna,Bihar,F,35,Bronze,,08-01-2023 00:00
100046,Rita Joshi,user100046@dmart.com,7621593120,,Bhopal,Madhya Pradesh,M,19,Gold,Frequent buyer,05-03-2024
100047,Priya Khan,user100047@dmart.com,7762597948,22-05-2025 00:00,Chennai,Tamil Nadu,M,46,,registered via app ,22-05-2025 00:00
100048,Asha Bhat,user100048@dmart.com,8957302555,03-08-2024 00:00,Delhi,Delhi,M,29,Bronze,Frequent buyer,03-08-2024 00:00
100049,Deepa Verma,user100049@dmart.com,6428217149,28-06-2025 00:00,Mumbai,Maharashtra,F,16,,prefers discount,28-06-2025 00:00
100050,Vikram Verma,user100050@dmart.com,7505874284,,Surat,Gujarat,M,29,Bronze,,25-04-2025
100051,Anita Nair,user100051@dmart.com,7781193901,,Bengaluru,Karnataka,M,53,Silver,,09-05-2024
100052,Sameer Joshi,user100052@dmart.com,8646850542,,Pune,Maharashtra,F,45,,prefers discount,16-Apr-23
100053,Asha Joshi,user100053@dmart.com,6508406998,,Vadodara,Gujarat,O,30,Silver,,13-03-2025
100054,Deepa Sharma,user100054@dmart.com,9039015411,,Surat,Gujarat,F,30,,,11-06-2023
100055,Sunil Kumar,user100055@dmart.com,9350198820,,Delhi,Delhi,F,31,Bronze,,06/17/2024
100056,Isha Verma,user100056@dmart.com,-9842298219,09-10-2025 00:00,Hyderabad,Telangana,,59,Bronze,registered via app ,09-10-2025 00:00
100057,Suresh Patel,user100057@dmart.com,8721084240,,Vadodara,Gujarat,F,39,Bronze,,26-11-2023
100058,Karan Gupta,user100058@dmart.com,6680272418,,Bhopal,Madhya Pradesh,M,40,Silver,,05-06-2024
100059,Pooja Verma,,6358383929,,Hyderabad,Telangana,M,47,Silver,,17-Sep-23
100060,Deepa Bhat,user100060@dmart.com,6849872844,,Bhopal,Madhya Pradesh,M,37,Gold,prefers discount,29-07-2024
100061,Sneha Joshi,user100061@dmart.com,7166830594,,Hyderabad,Telangana,M,31,Bronze,Frequent buyer,09-Aug-23
100062,Ramesh Kumar,user100062@dmart.com,8770674659,,Bengaluru,Karnataka,M,32,Silver,,22-12-2024
100063,Pooja Gupta,user100063@dmart.com,-6041373336,,Nagpur,Maharashtra,O,34,Silver,Frequent buyer,04-Nov-24
100064,Ramesh Patel,user100064@dmart.com,9467870380,,Pune,Maharashtra,F,34,Gold,,03-06-2023
100065,Sneha Mehta,user100065@dmart.com,-6512213539,,Bhopal,Madhya Pradesh,M,43,Bronze,,31-10-2024
100066,Rohit Singh,user100066@dmart.com,9942928075,,Delhi,Delhi,,35,,,22-03-2023
100067,Vikram Verma,user100067@dmart.com,6202176030,,Vadodara,Gujarat,M,43,Silver,Frequent buyer ,19-07-2025
100068,Amit Singh,user100068@dmart.com,-8953214726,,Patna,Bihar,M,34,Bronze,Frequent buyer,12/15/2023
100069,Priya Sharma,user100069@dmart.com,8954600756,,Bhopal,Madhya Pradesh,,35,Gold,prefers discount,06-07-2024
100070,Deepa Nair,user100070@dmart.com,7033040331,,Nagpur,Maharashtra,F,11,Bronze,,09/30/2025
100071,Pooja Bhat,user100071@dmart.com,-8779420426,,Jaipur,Rajasthan,F,45,,prefers discount,09-06-2023
100072,Sameer Das,user100072@dmart.com,7339280008,,Vadodara,Gujarat,F,39,Gold,registered via app ,12-11-2023
100073,Ramesh Patel,user100073@dmart.com,6705217830,,Jaipur,Rajasthan,M,46,Bronze,Frequent buyer,21-Sep-24
100074,Asha Kumar,user100074@dmart.com,-7944077859,,Bengaluru,Karnataka,,0,Silver,,22-06-2023
100075,Priya Sharma,user100075@dmart.com,-7815003171,,Indore,Madhya Pradesh,M,60,,Frequent buyer,04-04-2025
100076,Priya Patel,user100076@dmart.com,-8470596129,,Surat,Gujarat,,33,Bronze,prefers discount,25-12-2025
100077,Anita Mehta,user100077@dmart.com,7236918564,,Bengaluru,Karnataka,M,48,Silver,registered via app ,12-08-2024
100078,Sunil Singh,user100078@dmart.com,7426596199,,Lucknow,Uttar Pradesh,,22,Silver,,18-10-2023
100079,Amit Rao,user100079@dmart.com,-6004322681,,Patna,Bihar,F,42,Silver,prefers discount,08/25/2025
100080,Karan Mehta,user100080@dmart.com,7105264780,,Patna,Bihar,O,22,Gold,,03-06-2024
100081,Isha Mehta,user100081@dmart.com,-9127661857,,Bengaluru,Karnataka,O,27,Silver,,20-04-2025
100082,Pooja Patel,user100082@dmart.com,8743340587,,Bengaluru,Karnataka,O,57,Gold,,09-Jul-25
100083,Anita Kumar,user100083@dmart.com,9582739614,,Bhopal,Madhya Pradesh,M,32,Gold,Frequent buyer,09-Sep-23
100084,Neha Mehta,user100084@dmart.com,8397196672,,Delhi,Delhi,M,37,,Frequent buyer,11/30/2023
100085,Priya Sharma,,-7512925843,,Vadodara,Gujarat,O,45,Silver,,04/13/2023
100086,Anita Singh,user100086@dmart.com,9943895991,,Jaipur,Rajasthan,,40,Bronze,,24-03-2024
100087,Asha Rao,user100087@dmart.com,6597757917,,Indore,Madhya Pradesh,F,36,Bronze,,13-Feb-24
100088,Kavita Singh,user100088@dmart.com,6595324881,,Vadodara,Gujarat,F,39,,,24-Jun-25
100089,Deepa Mehta,user100089@dmart.com,-9293250701,,Indore,Madhya Pradesh,O,63,Silver,,11-Sep-24
100090,Vikram Singh,,9757713582,,Mumbai,Maharashtra,O,34,Bronze,Frequent buyer,31-07-2025
100091,Rohit Rao,user100091@dmart.com,9180307055,,Surat,Gujarat,F,37,Silver,registered via app ,12-11-2025
100092,Neha Kumar,user100092@dmart.com,8082866465,,Indore,Madhya Pradesh,M,47,Bronze,registered via app  ,16-02-2024
100093,Vikram Sharma,user100093@dmart.com,-8077559440,,Lucknow,Uttar Pradesh,M,48,Bronze,registered via app ,17-06-2024
100094,Neha Chaudhary,user100094@dmart.com,9004882210,,Kolkata,West Bengal,F,49,Silver,registered via app ,02/15/2024
100095,Vikram Khan,user100095@dmart.com,-9493928337,,Pune,Maharashtra,M,42,Bronze,,03-Aug-24
100096,Pooja Singh,user100096@dmart.com,6039170363,,Hyderabad,Telangana,O,21,Silver,registered via app ,22-Oct-25
100097,Neha Gupta,user100097@dmart.com,-7973458970,,Kolkata,West Bengal,,54,Bronze,registered via app ,24-07-2024
100098,Asha Rao,user100098@dmart.com,-8829975775,,Chennai,Tamil Nadu,M,21,,Frequent buyer ,25-Oct-24
100099,Asha Patel,user100099@dmart.com,-8917666857,,Nagpur,Maharashtra,,38,Bronze,,29-Apr-24
100100,Suresh Mehta,user100100@dmart.com,-9610690245,,Bhopal,Madhya Pradesh,M,25,Gold,registered via app ,19-10-2024
100101,Rita Khan,user100101@dmart.com,-9473220614,,Delhi,Delhi,F,,Silver,Frequent buyer,19-02-2023
100102,Kavita Chaudhary,user100102@dmart.com,9127953910,17-12-2025 00:00,Hyderabad,Telangana,M,34,Silver,,17-12-2025 00:00
100103,Neha Das,user100103@dmart.com,6304374111,,Lucknow,Uttar Pradesh,F,38,Silver, ,10-06-2023
100104,Rohit Chaudhary,user100104@dmart.com,-6291855043,,Vadodara,Gujarat,M,38,,,12-Aug-24
100105,Priya Rao,user100105@dmart.com,-7129804234,,Chennai,Tamil Nadu,M,40,Silver,,23-11-2024
100106,Rahul Patel,user100106@dmart.com,8619937385,,Pune,Maharashtra,M,54,Bronze,,14-03-2023
100107,Rahul Verma,user100107@dmart.com,7504345301,,Mumbai,Maharashtra,M,,Silver,,13-09-2024
100108,Amit Bhat,user100108@dmart.com,8986894360,,Lucknow,Uttar Pradesh,M,40,Gold,,24-05-2025
100109,Rahul Patel,user100109@dmart.com,9210383631,,Patna,Bihar,F,32,Bronze,Frequent buyer,04-04-2023
100110,Rohit Sharma,user100110@dmart.com,-9824344869,,Jaipur,Rajasthan,M,46,Silver,prefers discount,25-03-2025
100111,Pooja Chaudhary,user100111@dmart.com,9350969592,,Chennai,Tamil Nadu,F,49,Bronze,Frequent buyer,05/15/2024
100112,Isha Mehta,user100112@dmart.com,-6588975147,,Delhi,Delhi,O,20,Silver,Frequent buyer,16-09-2024
100113,Manish Verma,user100113@dmart.com,7193860598,,Mumbai,Maharashtra,O,42,,registered via app  ,07-09-2024
100114,Manish Sharma,user100114@dmart.com,-8834359173,,Nagpur,Maharashtra,O,43,Gold,,16-Sep-24
100115,Isha Joshi,user100115@dmart.com,-9988162553,,Vadodara,Gujarat,F,31,Silver,registered via app ,12-08-2023
100116,Ramesh Kumar,user100116@dmart.com,-9202472970,,Kolkata,West Bengal,M,51,Silver,,01-02-2023
100117,Isha Kumar,user100117@dmart.com,9480038045,26-01-2023 18:42,Kolkata,West Bengal,M,33,,Frequent buyer,26-01-2023 18:42
100118,Pooja Mehta,user100118@dmart.com,-7754970322,,Chennai,Tamil Nadu,M,36,Gold,,20-Jul-24
100119,Sunil Nair,user100119@dmart.com,-8817404616,,Patna,Bihar,,32,Bronze,,20-Mar-23
100120,Anita Kumar,user100120@dmart.com,8321177943,,Delhi,Delhi,M,35,Bronze,,04-02-2023
100121,Sameer Gupta,user100121@dmart.com,8756883801,,Pune,Maharashtra,F,21,Gold, ,10/21/2023
100122,Rohit Singh,,6908298164,,Indore,Madhya Pradesh,M,17,Gold,prefers discount,12-11-2025
100123,Neha Joshi,user100123@dmart.com,8428384750,,Patna,Bihar,M,54,Silver,registered via app ,06-05-2025
100124,Karan Kumar,user100124@dmart.com,-9913013728,,Surat,Gujarat,M,24,,registered via app ,01-11-2025
100125,Ramesh Verma,user100125@dmart.com,6989345010,15-04-2024 00:00,Bengaluru,Karnataka,M,23,,,15-04-2024 00:00
100126,Rohit Gupta,user100126@dmart.com,6637367028,09-10-2025 00:00,Hyderabad,Telangana,F,9,Bronze,prefers discount,09-10-2025 00:00
100127,Kavita Khan,user100127@dmart.com,9734297104,,Bengaluru,Karnataka,M,27,,registered via app ,19-02-2023
100128,Kavita Patel,user100128@dmart.com,9542126455,,Delhi,Delhi,F,19,,registered via app ,09-08-2023
100129,Deepa Kumar,user100129@dmart.com,9108299881,,Jaipur,Rajasthan,F,54,Gold,registered via app ,11-09-2025
100130,Anita Das,user100130@dmart.com,8422925661,11-12-2025 00:00,Vadodara,Gujarat,,47,,,11-12-2025 00:00
100131,Rahul Chaudhary,user100131@dmart.com,7849145121,,Chennai,Tamil Nadu,M,26,Silver,Frequent buyer,23-Jul-24
100132,Sunil Singh,user100132@dmart.com,-8603481004,,Nagpur,Maharashtra,F,,Bronze,,24-Jul-24
100133,Sneha Chaudhary,user100133@dmart.com,7831814541,30-06-2025 00:00,Lucknow,Uttar Pradesh,O,62,Bronze,Frequent buyer,30-06-2025 00:00
100134,Anita Verma,user100134@dmart.com,8872111537,,Surat,Gujarat,M,46,Silver,,11-06-2023
100135,Ramesh Nair,user100135@dmart.com,-7352098239,,Hyderabad,Telangana,M,31,Bronze,Frequent buyer,06-06-2025
100136,Sunil Singh,user100136@dmart.com,8892006052,20-08-2025 00:00,Bengaluru,Karnataka,F,5,Silver,prefers discount,20-08-2025 00:00
100137,Ramesh Chaudhary,user100137@dmart.com,8107502453,,Pune,Maharashtra,F,62,,,03-03-2024
100138,Ramesh Nair,user100138@dmart.com,6995974300,,Pune,Maharashtra,M,18,,,20-09-2025
100139,Rohit Joshi,user100139@dmart.com,-8845064377,,Delhi,Delhi,O,15,Bronze,prefers discount,09-08-2025
100140,Sneha Rao,user100140@dmart.com,-7249535776,,Pune,Maharashtra,,47,,registered via app ,04/17/2025
100141,Sneha Khan,user100141@dmart.com,7325043139,,Indore,Madhya Pradesh,F,64,Bronze,,29-03-2024
100142,Kavita Sharma,,9351936476,13-11-2024 00:00,Nagpur,Maharashtra,M,51,Bronze,,13-11-2024 00:00
100143,Asha Chaudhary,user100143@dmart.com,-6984983958,,Indore,Madhya Pradesh,F,41,Bronze,Frequent buyer,04-02-2025
100144,Ramesh Verma,user100144@dmart.com,6674075811,19-02-2023 00:00,Surat,Gujarat,F,,Bronze,Frequent buyer,19-02-2023 00:00
100145,Vikram Singh,user100145@dmart.com,-9702191690,30-10-2025 00:00,Surat,Gujarat,,,Bronze,,30-10-2025 00:00
100146,Sameer Das,user100146@dmart.com,7340844558,,Kolkata,West Bengal,O,42,Bronze,,20-05-2025
100147,Vikram Kumar,user100147@dmart.com,8409460597,,Indore,Madhya Pradesh,F,45,,registered via app ,05-Aug-24
100148,Priya Mehta,user100148@dmart.com,9312303657,,Jaipur,Rajasthan,O,44,Bronze,Frequent buyer,27-01-2025
100149,Sneha Rao,user100149@dmart.com,8033729961,,Surat,Gujarat,O,38,Bronze,,04/21/2024
100150,Amit Kumar,user100150@dmart.com,8099066004,,Chennai,Tamil Nadu,,36,Silver,,03-10-2024
100151,Suresh Verma,user100151@dmart.com,-6546673993,,Hyderabad,Telangana,,34,Bronze,Frequent buyer,30-11-2025
100152,Ramesh Mehta,user100152@dmart.com,7715434253,,Surat,Gujarat,F,25,Gold,,08/29/2023
100153,Asha Singh,user100153@dmart.com,8637109140,,Lucknow,Uttar Pradesh,F,31,Bronze,prefers discount,29-Nov-25
100154,Sneha Sharma,user100154@dmart.com,6287969013,,Indore,Madhya Pradesh,,14,Bronze,,20-01-2024
100155,Pooja Nair,user100155@dmart.com,-8700768778,16-07-2024 00:00,Pune,Maharashtra,M,33,Gold,,16-07-2024 00:00
100156,Kavita Bhat,user100156@dmart.com,6442279762,,Bhopal,Madhya Pradesh,M,23,Silver,,03/19/2024
100157,Sameer Das,user100157@dmart.com,9742362118,,Nagpur,Maharashtra,F,21,Bronze,,27-08-2025
100158,Amit Gupta,user100158@dmart.com,8197757357,,Kolkata,West Bengal,M,37,Silver,,05/21/2025
100159,Sneha Gupta,user100159@dmart.com,9793682791,,Patna,Bihar,O,51,,,14-03-2024
100160,Anita Nair,user100160@dmart.com,-8800714264,18-01-2025 00:00,Jaipur,Rajasthan,O,46,Silver,,18-01-2025 00:00
100161,RitaJ oshi,user100161@dmart.com,6841109583,,Kolkata,West Bengal,O,16,Gold,,13-Dec-25
100162,Rahul Nair,user100162@dmart.com,8987145791,,Patna,Bihar,M,23,,,15-Jul-24
